time,total_objects,person_count,unique_objects,furniture_count,vehicle_count,hour
09:55:44,1,0,1,0,0,9
09:55:44,1,0,1,0,0,9
09:55:45,1,0,1,0,0,9
09:55:45,1,0,1,0,0,9
09:55:45,1,0,1,0,0,9
09:55:45,1,0,1,0,0,9
09:55:45,1,0,1,0,0,9
09:55:45,1,0,1,0,0,9
09:55:47,1,1,1,0,0,9
09:55:47,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:48,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:49,1,1,1,0,0,9
09:55:50,1,1,1,0,0,9
09:55:50,1,1,1,0,0,9
09:55:50,1,1,1,0,0,9
09:55:50,1,1,1,0,0,9
09:55:50,1,1,1,0,0,9
09:55:50,1,1,1,0,0,9
09:55:50,1,1,1,0,0,9
09:55:53,1,0,1,0,0,9
09:55:53,1,0,1,0,0,9
09:55:53,1,0,1,0,0,9
09:55:53,1,0,1,0,0,9
09:55:53,1,0,1,0,0,9
09:55:53,1,0,1,0,0,9
09:55:53,1,0,1,0,0,9
09:55:53,1,0,1,0,0,9
09:55:53,1,0,1,0,0,9
09:55:53,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,1,1,0,0,9
09:55:54,1,1,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:54,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:55,1,0,1,0,0,9
09:55:56,1,0,1,0,0,9
09:55:56,1,0,1,0,0,9
09:55:56,1,0,1,0,0,9
09:55:56,1,0,1,0,0,9
09:55:57,1,0,1,0,0,9
09:55:57,1,0,1,0,0,9
09:55:57,1,0,1,0,0,9
09:55:57,1,0,1,0,0,9
09:55:57,1,1,1,0,0,9
09:55:57,1,1,1,0,0,9
09:55:57,1,1,1,0,0,9
09:55:57,1,1,1,0,0,9
09:55:57,1,1,1,0,0,9
09:55:57,1,1,1,0,0,9
09:55:57,1,1,1,0,0,9
09:55:57,1,1,1,0,0,9
09:55:57,1,1,1,0,0,9
09:56:45,1,1,1,0,0,9
09:56:45,1,1,1,0,0,9
09:56:45,1,1,1,0,0,9
09:56:45,1,1,1,0,0,9
09:56:45,1,1,1,0,0,9
09:56:45,1,1,1,0,0,9
09:56:45,1,1,1,0,0,9
09:56:45,1,1,1,0,0,9
09:56:45,1,1,1,0,0,9
09:56:45,1,1,1,0,0,9
09:56:45,1,1,1,0,0,9
09:56:46,1,1,1,0,0,9
09:56:46,1,1,1,0,0,9
09:56:46,1,1,1,0,0,9
09:56:46,1,1,1,0,0,9
09:56:46,1,1,1,0,0,9
09:56:46,1,1,1,0,0,9
09:56:46,1,1,1,0,0,9
09:56:46,1,1,1,0,0,9
10:02:11,1,1,1,0,0,10
10:02:15,1,1,1,0,0,10
10:02:23,1,1,1,0,0,10
10:02:28,1,1,1,0,0,10
10:02:33,1,1,1,0,0,10
